"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","img-wrp href","he-lazy-image src","listing-card--owner-info__firm-name","listing-card--owner-info__name","he-lazy-image src 2","img-wrp href 2","he-lazy-image src 3"
"https://www.hepsiemlak.com/ankara-yenimahalle-yeni-bati-kiralik/daire/16744-19921","40","26.000","16-09-2025","Kiralık Daire","1 +
                          1","50 m²","Sıfır Bina","7. Kat","Vera Star Da Metro Yakını Orman Manz.Kiralık 1+1sıfır Lüks Daire","Ankara / Yenimahalle / Yeni Batı Mah.","https://www.hepsiemlak.com/emlak-ofisi/world-seckin-gayrimenkul-16744/wec-seckin-gayrimenkul-16744","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/4/4/7/6/1/0/5f3af1cc-03d8-41dc-aba5-9c4005cbe20c.jpg","World Seçkin Gayrimenkul","Wec Seçkin
          Gayrimenkul","","",""
"https://www.hepsiemlak.com/ankara-kecioren-atapark-kiralik/daire/0-45258338","49","26.000","16-09-2025","Kiralık Daire","4 +
                          1","170 m²","19
                        Yaşında","1. Kat","Sahibinden Kiralık 4+1 Cadde Üzerinde Daire","Ankara / Keçiören / Atapark Mah.","","","","","","",""
"https://www.hepsiemlak.com/ankara-cankaya-ayranci-kiralik/daire/3004-1830","25","26.000","16-09-2025","Kiralık Daire","2 +
                          1","90 m²","35
                        Yaşında","1. Kat","Ayrancı Tbmm Yakını  Boş 1.Katta Ön Cephe 2+1 Kombili Balkonlu","Ankara / Çankaya / Ayrancı Mah.","","","","","","",""
"https://www.hepsiemlak.com/ankara-golbasi-segmenler-kiralik/daire/2530-1685","7","26.000","16-09-2025","Kiralık Daire","3 +
                          1","145 m²","20
                        Yaşında","2. Kat","Ara Katta 3+1 Kullanışlı Komple Güney Cephe Daire","Ankara / Gölbaşı / Seğmenler Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/8/4/4/6/0/5/4/1754742271960-45064487.jpg","","","","",""
"https://www.hepsiemlak.com/ankara-cankaya-huzur-kiralik/daire/119658-93","46","26.000","16-09-2025","Kiralık Daire","3 +
                          0","139 m²","26
                        Yaşında","3. Kat","Çankaya Lizbon Cadde'de Ara Kat Geniş Kiralık Daire","Ankara / Çankaya / Huzur Mah.","https://www.hepsiemlak.com/emlak-ofisi/baytek-emlak-119658/ramazan-baytek-2718265","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/7/7/6/5/2/5/4/7e51d152-362e-4211-9bae-9034aef904c8.jpg","Baytek Emlak","Ramazan
          Baytek","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/5/6/2/8/1/7/2/139cc86a-e2b0-4c75-8c9b-fb2a289378f1.jpg","",""
"https://www.hepsiemlak.com/ankara-cankaya-camlitepe-kiralik/daire/146714-192","28","26.000","15-09-2025","Kiralık Daire","1 +
                          1","79 m²","3
                        Yaşında","2. Kat","Merkezi Konumda Modern Tasarımlı 1+1 Kiralık Daire","Ankara / Çankaya / Çamlıtepe Mah.","https://www.hepsiemlak.com/emlak-ofisi/bonus-emlak-146714/hakan-tanriverdi-4164149","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/0/5/5/5/2/5/4/ebde7dff-e61f-49b8-86c7-39a731396d3c.jpg","Bonus Emlak","Hakan
          Tanrıverdi","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/9/4/1/4/6/1/4/eec226e7-82f0-414e-b3f8-63b50415b8df.jpg","https://www.hepsiemlak.com/emlak-ofisi/bonus-emlak-146714","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/1/7/6/4/1/9744a5a1-99de-4206-b7cc-5fd74953bf74.jpg"
"https://www.hepsiemlak.com/ankara-etimesgut-guzelkent-kiralik/daire/158662-36","29","26.000","16-09-2025","Kiralık Daire","3 +
                          1","120 m²","21
                        Yaşında","4. Kat","'natura Gayrimenkul'den 3. Etap Merkezi Konum Site İçi Geniş 3+1","Ankara / Etimesgut / Güzelkent Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/2/6/9/4/2/5/4/a3004ba80a8aba8e09b928c816681192e8ba59d37168dea0b42847816a9a37563cf2e74c6b15663c54d12ec4a33e4db7.jpg","","","","",""
"https://www.hepsiemlak.com/ankara-etimesgut-atakent-kiralik/daire/120171-3406","54","26.000","15-09-2025","Kiralık Daire","3 +
                          1","120 m²","18
                        Yaşında","3. Kat","Etimesgut Atakent Mah 14.Cadde Üzerinde 3+1 Kiralık Daire","Ankara / Etimesgut / Atakent Mah.","https://www.hepsiemlak.com/emlak-ofisi/yoldas-gayrimenkul-120171","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/7/6/5/3/2/5/4/c32a9a60-9295-41cd-b2f5-4f5d9a2e2ff3.jpg","Yoldaş Gayrimenkul","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/7/1/0/2/1/16ba5256-629d-41f0-8737-38b66aad8645.jpg","",""
"https://www.hepsiemlak.com/ankara-mamak-balkiraz-kiralik/daire/123110-188","42","26.000","11-09-2025","Kiralık Daire","3 +
                          1","140 m²","37
                        Yaşında","Ara Kat","Kaan Emlaktan 3+1 125 M2 Orta Kat Ön Cephe Full Yapılı 2 Odası Bağımlı Şehir Manzaralı Kiralık Daire","Ankara / Mamak / Balkiraz Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/7/0/5/3/2/5/4/2ec57e31-b422-475a-9b3f-849bb2bf0bf9.jpg","","","","",""
"https://www.hepsiemlak.com/ankara-kecioren-ayvali-kiralik/daire/22454-3420","41","26.000","13-09-2025","Kiralık Daire","3 +
                          1","125 m²","25
                        Yaşında","Ara Kat","Ayvalı_farabi Lisesi_orta Kat _güney Cephe _kombili_ısı Yalıtımlı__ara Kat","Ankara / Keçiören / Ayvalı Mah.","https://www.hepsiemlak.com/emlak-ofisi/aslimlar-gayrimenkul-22454","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/1/0/1/3/2/5/4/66feeebd-985c-4531-a457-d4ca79a62600.jpg","Aslımlar Gayrimenkul","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/5/4/2/2/0/438939cf-fd62-4abf-9781-51db7c94a364.jpg","",""
