"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","img-wrp href","he-lazy-image src","img-wrp href 2","he-lazy-image src 2","listing-card--owner-info__firm-name","listing-card--owner-info__name","he-lazy-image src 3"
"https://www.hepsiemlak.com/ankara-cankaya-cevizlidere-kiralik/daire/36856-3697","47","36.000","16-09-2025","Kiralık Daire","3 +
                          1","135 m²","19
                        Yaşında","3. Kat","Soylu Gayrimenkul'den Asansörlü Bakımlı Katta Kiralık Daire","Ankara / Çankaya / Cevizlidere Mah.","https://www.hepsiemlak.com/emlak-ofisi/soylu-gayrimenkul-36856/mehmet-soylu-748447","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/7/4/4/8/4/7/fbfc6331-6f68-4f13-bc5e-01839432a2a9.jpg","https://www.hepsiemlak.com/emlak-ofisi/soylu-gayrimenkul-36856","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/6/5/8/6/3/0/fa13e643-404c-49ee-9463-f4b9540b2fa0.png","Soylu Gayrimenkul","Mehmet
          Soylu",""
"https://www.hepsiemlak.com/ankara-golbasi-incek-kiralik/daire/119791-1162","46","36.000","13-09-2025","Kiralık Daire","2 +
                          1","120 m²","Sıfır Bina","3. Kat","Gölbaşı İncek Mahallesinde Sıfır Yapı Full Eşyalı 2+1 Kiralık Dubleks Daire .......","Ankara / Gölbaşı / İncek Mah.","https://www.hepsiemlak.com/emlak-ofisi/radikal-emlak-gayrimenkul-danismanligi-119791/erol-yagmur-2726085","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/5/8/0/6/2/7/2/66888efe-1bf2-492d-8015-3ba8c263a426.jpg","https://www.hepsiemlak.com/emlak-ofisi/radikal-emlak-gayrimenkul-danismanligi-119791","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/9/7/9/1/1/bf9444da-d6ab-4161-9af2-63ac081f1ff3.jpg","Radikal Emlak Gayrimenkul Danışmanlığı","Erol
          Yağmur",""
"https://www.hepsiemlak.com/ankara-cankaya-100-yil-kiralik/daire/8315-16392","47","36.000","12-09-2025","Kiralık Daire","3 +
                          1","103 m²","32
                        Yaşında","Yüksek Giriş","Gop Yeni Foça Sokak Yüce Sitesi'nde Merkezi Konumda Yüksek Giriş Yapılı","Ankara / Çankaya / 100. Yıl Mah.","https://www.hepsiemlak.com/emlak-ofisi/kw-angora-gayrimenkul-8315","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/5/1/3/8/0/0/565223f4-8870-4d2e-8f61-c0c61ab2c912.jpg","","","Kw Angora Gayrimenkul","",""
"https://www.hepsiemlak.com/ankara-cankaya-ata-kiralik/daire/16761-32993","30","36.000","12-09-2025","Kiralık Daire","2 +
                          1","100 m²","16
                        Yaşında","1. Kat","Doğan Dan 2+1+ebb Full Lüx Eşyalı Klimalı Asansörlü Cadde Üstü  Eksiksiz Daire","Ankara / Çankaya / Ata Mah.","https://www.hepsiemlak.com/emlak-ofisi/dogan-emlak-dikmen-16761","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/3/4/3/1/2/5/4/e7c02338-bab1-4186-8ced-f8745253a662.jpg","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/6/7/6/1/0/49664367-bd47-4835-a9ee-bfadbb3a52f6.jpg","Doğan Emlak Dikmen","",""
"https://www.hepsiemlak.com/ankara-cankaya-yildizevler-kiralik/daire/33209-2776","25","36.000","15-09-2025","Kiralık Daire","1 +
                          1","68 m²","10
                        Yaşında","3. Kat","Çankaya Emlak'tan Mega Park Konutları 1+1 Mobilyalı Güvenlikli","Ankara / Çankaya / Yıldızevler Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/0/3/5/1/2/5/4/1757326970-7382178-45215305.jpeg","","","","",""
"https://www.hepsiemlak.com/ankara-altindag-gunesevler-kiralik/daire/7464-6396","19","36.000","11-09-2025","Kiralık Daire","3 +
                          1","168 m²","6
                        Yaşında","3. Kat","Ankara Merkezde Yüzme Havuzu,Buz Pateni,Havalimanı Caddesine Yakın Site İçerisinde Fırsat Daire","Ankara / Altındağ / Güneşevler Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/0/4/6/9/3/3/3/eaf267a9-1e43-406d-b210-e97db1b54ca9.jpg","","","","",""
"https://www.hepsiemlak.com/ankara-etimesgut-tunahan-kiralik/daire/95770-3068","22","36.000","15-09-2025","Kiralık Daire","1 +
                          1","67 m²","5
                        Yaşında","Ara Kat","Eryaman Metromall Konutları Sitesi'nde Eşyalı 1+1 Kiralık Daire","Ankara / Etimesgut / Tunahan Mah.","https://www.hepsiemlak.com/emlak-ofisi/remax-premium-95770/burcu-adiyaman-3982262","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/7/3/2/3/2/5/4/1757576615-881568-45232378.jpeg","https://www.hepsiemlak.com/emlak-ofisi/remax-premium-95770","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/2/6/2/2/8/9/3/618178be-ee3b-4365-ae1a-c117082a361d.jpg","Re/max Premium","Burcu
          Adıyaman","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/7/7/5/9/0/7fa70c45-5fe2-43fb-906a-ba94b57e7609.jpg"
"https://www.hepsiemlak.com/ankara-cankaya-bahcelievler-kiralik/daire/115697-728","21","36.000","16-09-2025","Kiralık Daire","3 +
                          1","100 m²","38
                        Yaşında","Bahçe Katı","Başkent Hastanesi Yakın 3+1 Bahçe Katı Kiralık Daire","Ankara / Çankaya / Bahçelievler Mah.","https://www.hepsiemlak.com/emlak-ofisi/onur-emlak-115697/onur-arikan-2500575","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/6/8/6/3/0/5/4/643875e0-dc55-4421-8539-0b55f7332635.jpg","https://www.hepsiemlak.com/emlak-ofisi/onur-emlak-115697","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/5/7/5/0/0/5/2/dcb66a5b-04ca-46fa-b499-2819a4c6ac15.jpg","Onur Emlak","Onur
          Arıkan","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/9/6/5/1/1/c1a997e5-7ca6-423b-a918-a16745dcf2e9.png"
"https://www.hepsiemlak.com/ankara-yenimahalle-turgut-ozal-kiralik/daire/37532-2343","24","36.000","10-09-2025","Kiralık Daire","3 +
                          1","135 m²","11
                        Yaşında","2. Kat","Cnr'den Turgut Özal Da Ana Cadde Üzeri 3+1 Kombili Bakımlı Kiralık Daire","Ankara / Yenimahalle / Turgut Özal Mah.","https://www.hepsiemlak.com/emlak-ofisi/cnr-gayrimenkul-37532/omur-cinar-757032","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/9/7/9/8/1/9/3/1755856748-937536-39189792.jpeg","https://www.hepsiemlak.com/emlak-ofisi/cnr-gayrimenkul-37532","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/2/3/0/7/5/7/43fc0635-6c74-4c53-bffd-1b36403a0da4.jpg","Cnr Gayrimenkul","Ömür
          Çınar","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/3/5/7/3/0/1c08ee24-8f87-4b47-ad5d-ed7410586572.jpg"
"https://www.hepsiemlak.com/ankara-cankaya-mebusevleri-kiralik/daire/25021-603","21","36.000","15-09-2025","Kiralık Daire","3 +
                          1","125 m²","35
                        Yaşında","1. Kat","Beşevler Dögol Caddesinde 3+1 Bakımlı Kiralık Daire","Ankara / Çankaya / Mebusevleri Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/6/3/6/1/9/4/4/1ff6215d-b930-4d10-a9ba-6c4e05e4884d.jpg","","","","",""
