"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","img-wrp href","he-lazy-image src","listing-card--owner-info__firm-name","he-lazy-image src 2","listing-card--owner-info__name"
"https://www.hepsiemlak.com/ankara-altindag-karapurcek-kiralik/daire/0-44517006","1","6.000","03-08-2025","Kiralık Daire","3 +
                          1","120 m²","5
                        Yaşında","Yüksek Giriş","Ev Arkadaşı Bayan Yanına Bayan","Ankara / Altındağ / Karapürçek Mah.","","","","",""
"https://www.hepsiemlak.com/ankara-kecioren-asagi-eglence-kiralik/daire/0-45204338","5","6.500","15-09-2025","Kiralık Daire","3 +
                          1","120 m²","15
                        Yaşında","2. Kat","Kadın Ev Arkadaşı","Ankara / Keçiören / Aşağı Eğlence Mah.","","","","",""
"https://www.hepsiemlak.com/ankara-kecioren-yayla-kiralik/daire/125731-527","5","7.000","16-09-2025","Kiralık Daire","1 +
                          1","60 m²","5
                        Yaşında","Kot 2","Ankara Keçiören Yayla Kiralık Daire","Ankara / Keçiören / Yayla Mah.","https://www.hepsiemlak.com/emlak-ofisi/poyraz-emlak-125731","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/3/7/5/2/1/9dd3851b-cab3-4f18-80e5-f7b75131eb8b.jpg","Poyraz Emlak","",""
"https://www.hepsiemlak.com/ankara-mamak-kusunlar-kiralik/daire/136615-289","15","7.000","22-07-2025","Kiralık Daire","1 +
                          1","40 m²","5
                        Yaşında","2. Kat","⫸uzunyıl⫷zirvekent Tokilerde 2.Katta 1+1 Kiralık Daire","Ankara / Mamak / Kusunlar Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/8/0/1/9/7/2/4/63c603ee-0321-40bc-8b05-9dbec4d6e140.jpg","","",""
"https://www.hepsiemlak.com/ankara-kecioren-karargahtepe-kiralik/daire/0-44898680","11","7.000","03-09-2025","Kiralık Daire","3 +
                          1","118 m²","25
                        Yaşında","Ara Kat","Kiralık Daire ( Bayan A) Oda","Ankara / Keçiören / Karargahtepe Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/8/6/8/9/8/4/4/1753959875750-44898680.jpg","","",""
"https://www.hepsiemlak.com/ankara-sincan-hurriyet-kiralik/daire/146417-8","6","7.000","24-07-2025","Kiralık Daire","1 +
                          1","60 m²","5
                        Yaşında","2. Kat","Temelli Toki'de Kiralık Boş Daire","Ankara / Sincan / Hürriyet Mah.","https://www.hepsiemlak.com/emlak-ofisi/avantaj-gayrimenkul-146417","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/9/5/8/8/9/4/4/06559948a9f9051987a16bbe337b882cd79059cb4cbc010c030ae0e92cdc224afb566708be076e2d14d43b6109c4bc06.jpg","Avantaj Gayrimenkul","https://www.hepsiemlak.com/img/loadings/noImage55-55.png",""
"https://www.hepsiemlak.com/ankara-mamak-zirvekent-kiralik/daire/159428-18","1","7.000","07-08-2025","Kiralık Daire","1 +
                          1","70 m²","11
                        Yaşında","Yüksek Giriş","Başkent Emlak'tan Zirvekent Toki'de Kiralık 1+1","Ankara / Mamak / Zirvekent Mah.","https://www.hepsiemlak.com/emlak-ofisi/baskent-emlak-159428","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/8/5/7/9/6/4/4/93015d39c98c783d76177fde538ea44c145ea966d1e9c86ebf38253b2bf211d276fe16253593a2dac3ccbeb827083ace.jpg","Başkent Emlak","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/2/4/9/5/1/b0974bf8-b6c0-4277-a073-f016ccdfcd80.jpg",""
"https://www.hepsiemlak.com/ankara-kecioren-etlik-kiralik/daire/0-43830433","2","7.000","19-08-2025","Kiralık Daire","3 +
                          1","160 m²","10
                        Yaşında","4. Kat","Evime Temiz Titiz Kamuda Çalışan Ev Arkadaşı Arıyorum","Ankara / Keçiören / Etlik Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/3/4/0/3/8/3/4/-n-7bpO6OS_ZefxKjhIJ7.jpg","","",""
"https://www.hepsiemlak.com/ankara-mamak-kusunlar-kiralik/daire/122317-749","19","7.500","12-09-2025","Kiralık Daire","1 +
                          1","55 m²","9
                        Yaşında","Kot 1","Kiralık 1+1 Mamak Zirvekent Toki Blokları","Ankara / Mamak / Kusunlar Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/4/4/3/4/2/5/4/1757707615934-45243447.jpg","","",""
"https://www.hepsiemlak.com/ankara-yenimahalle-demetgul-kiralik/daire/0-45013630","8","7.500","21-08-2025","Kiralık Daire","4 +
                          1","110 m²","30
                        Yaşında","5. Kat","Ev Arkadaşı","Ankara / Yenimahalle / Demetgül Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/3/6/3/1/0/5/4/1755779281498-45013630.jpg","","",""
